Date,travel_count
2019-01-01,2345103.0
2019-01-02,2202111.0
2019-01-03,2150571.0
2019-01-04,1975947.0
2019-01-05,2229391.0
2019-01-06,2044043.0
2019-01-07,1733739.0
2019-01-08,1739642.0
2019-01-09,1955200.0
2019-01-10,1959788.0
2019-01-11,1604862.0
2019-01-12,1970450.0
2019-01-13,1886642.0
2019-01-14,1605758.0
2019-01-15,1786012.0
2019-01-16,2139242.0
2019-01-17,2271398.0
2019-01-18,1600698.0
2019-01-19,1776235.0
2019-01-20,2179066.0
2019-01-21,1804629.0
2019-01-22,1763884.0
2019-01-23,1991328.0
2019-01-24,2052814.0
2019-01-25,1571077.0
2019-01-26,2010374.0
2019-01-27,1862420.0
2019-01-28,1534386.0
2019-01-29,1593697.0
2019-01-30,1938817.0
2019-01-31,2078169.0
2019-02-01,1591591.0
2019-02-02,1792677.0
2019-02-03,2001482.0
2019-02-04,1655868.0
2019-02-05,1756152.0
2019-02-06,2064640.0
2019-02-07,2134744.0
2019-02-08,1648328.0
2019-02-09,2105696.0
2019-02-10,2055827.0
2019-02-11,1620239.0
2019-02-12,1950385.0
2019-02-13,2227730.0
2019-02-14,1922613.0
2019-02-15,2147045.0
2019-02-16,2476445.0
2019-02-17,2177690.0
2019-02-18,2022861.0
2019-02-19,2351856.0
2019-02-20,2415570.0
2019-02-21,2331841.0
2019-02-22,2274217.0
2019-02-23,2197938.0
2019-02-24,2160322.0
2019-02-25,1861286.0
2019-02-26,2015079.0
2019-02-27,2307393.0
2019-02-28,2257920.0
2019-03-01,1979558.0
2019-03-02,2143619.0
2019-03-03,2402692.0
2019-03-04,2543689.0
2019-03-05,2156262.0
2019-03-06,2485430.0
2019-03-07,2378673.0
2019-03-08,2122898.0
2019-03-09,2187298.0
2019-03-10,2503924.0
2019-03-11,2634215.0
2019-03-12,2274658.0
2019-03-13,2545742.0
2019-03-14,2465709.0
2019-03-15,2177929.0
2019-03-16,2320885.0
2019-03-17,2513231.0
2019-03-18,2559307.0
2019-03-19,2227181.0
2019-03-20,2542643.0
2019-03-21,2434370.0
2019-03-22,2151913.0
2019-03-23,2273811.0
2019-03-24,2487162.0
2019-03-25,2538384.0
2019-03-26,2172920.0
2019-03-27,2510294.0
2019-03-28,2360053.0
2019-03-29,2026256.0
2019-03-30,2151626.0
2019-03-31,2411500.0
2019-04-01,2476884.0
2019-04-02,2011715.0
2019-04-03,2462929.0
2019-04-04,2384091.0
2019-04-05,2091056.0
2019-04-06,2229276.0
2019-04-07,2487398.0
2019-04-08,2590499.0
2019-04-09,2059142.0
2019-04-10,2446801.0
2019-04-11,2484580.0
2019-04-12,2208688.0
2019-04-13,2317381.0
2019-04-14,2616158.0
2019-04-15,2457133.0
2019-04-16,1988205.0
2019-04-17,2356802.0
2019-04-18,2594171.0
2019-04-19,2227475.0
2019-04-20,2254209.0
2019-04-21,2526961.0
2019-04-22,2521897.0
2019-04-23,1990464.0
2019-04-24,2506809.0
2019-04-25,2412770.0
2019-04-26,2102068.0
2019-04-27,2256442.0
2019-04-28,2499461.0
2019-04-29,2546029.0
2019-04-30,1968278.0
2019-05-01,2512598.0
2019-05-02,2470969.0
2019-05-03,2106597.0
2019-05-04,2270662.0
2019-05-05,2555342.0
2019-05-06,2602631.0
2019-05-07,1985942.0
2019-05-08,2419114.0
2019-05-09,2512315.0
2019-05-10,2191387.0
2019-05-11,2343675.0
2019-05-12,2611324.0
2019-05-13,2664549.0
2019-05-14,2091116.0
2019-05-15,2620276.0
2019-05-17,2615691.0
2019-05-18,2312727.0
2019-05-19,2472123.0
2019-05-20,2673635.0
2019-05-21,2792670.0
2019-05-22,2124825.0
2019-05-23,2070716.0
2019-05-24,2512237.0
2019-05-25,2453649.0
2019-05-26,2269035.0
2019-05-27,2485770.0
2019-05-28,2570613.0
2019-05-29,2117180.0
2019-05-30,2555578.0
2019-05-31,2499002.0
2019-06-01,2247421.0
2019-06-02,2370152.0
2019-06-03,2623947.0
2019-06-04,2649808.0
2019-06-05,2225952.0
2019-06-06,2669860.0
2019-06-07,2644981.0
2019-06-08,2433189.0
2019-06-09,2509058.0
2019-06-10,2675686.0
2019-06-11,2727860.0
2019-06-12,2318946.0
2019-06-13,2642083.0
2019-06-14,2699580.0
2019-06-15,2466574.0
2019-06-16,2552395.0
2019-06-17,2728786.0
2019-06-18,2772903.0
2019-06-19,2378559.0
2019-06-20,2719643.0
2019-06-21,2716428.0
2019-06-22,2506510.0
2019-06-23,2594661.0
2019-06-24,2711222.0
2019-06-25,2730515.0
2019-06-26,2368846.0
2019-06-27,2632030.0
2019-06-28,2455536.0
2019-06-29,2347767.0
2019-06-30,2547889.0
2019-07-01,2088760.0
2019-07-02,2184253.0
2019-07-03,2345846.0
2019-07-04,2795369.0
2019-07-05,2748718.0
2019-07-06,2506859.0
2019-07-07,2515902.0
2019-07-08,2608209.0
2019-07-09,2716812.0
2019-07-10,2312178.0
2019-07-11,2669717.0
2019-07-12,2615115.0
2019-07-13,2447177.0
2019-07-14,2522563.0
2019-07-15,2716828.0
2019-07-16,2776960.0
2019-07-17,2396462.0
2019-07-18,2727355.0
2019-07-19,2635312.0
2019-07-20,2499460.0
2019-07-21,2561911.0
2019-07-22,2705399.0
2019-07-23,2732770.0
2019-07-24,2364925.0
2019-07-25,2700723.0
2019-07-26,2613346.0
2019-07-27,2438967.0
2019-07-28,2542365.0
2019-07-29,2742882.0
2019-07-30,2730936.0
2019-07-31,2367967.0
2019-08-01,2688640.0
2019-08-02,2619406.0
2019-08-03,2387115.0
2019-08-04,2430094.0
2019-08-05,2707986.0
2019-08-06,2725000.0
2019-08-07,2290340.0
2019-08-08,2647897.0
2019-08-09,2567986.0
2019-08-10,2306829.0
2019-08-11,2391906.0
2019-08-12,2602446.0
2019-08-13,2627564.0
2019-08-14,2171962.0
2019-08-15,2584444.0
2019-08-16,2576965.0
2019-08-17,2247446.0
2019-08-18,2306838.0
2019-08-19,2533184.0
2019-08-20,2559244.0
2019-08-21,2039233.0
2019-08-22,2493162.0
2019-08-23,2358007.0
2019-08-24,2015088.0
2019-08-25,2188688.0
2019-08-26,2561109.0
2019-08-27,2658558.0
2019-08-28,1954902.0
2019-08-29,1887845.0
2019-08-30,2278159.0
2019-08-31,2037750.0
2019-09-01,1889044.0
2019-09-02,2109858.0
2019-09-03,2198828.0
2019-09-04,1755502.0
2019-09-05,2370003.0
2019-09-06,2292985.0
2019-09-07,1943379.0
2019-09-08,2005867.0
2019-09-09,2449302.0
2019-09-10,2484025.0
2019-09-11,1879822.0
2019-09-12,2485134.0
2019-09-13,2405832.0
2019-09-14,2013050.0
2019-09-15,2146857.0
2019-09-16,2455410.0
2019-09-17,2571924.0
2019-09-18,1938402.0
2019-09-19,2517826.0
2019-09-20,2431388.0
2019-09-21,2033490.0
2019-09-22,2188236.0
2019-09-23,2510926.0
2019-09-24,2547611.0
2019-09-25,1966234.0
2019-09-26,2452596.0
2019-09-27,2368818.0
2019-09-28,1998980.0
2019-09-29,2082179.0
2019-09-30,2447687.0
2019-10-01,2526835.0
2019-10-02,1921185.0
2019-10-03,2542118.0
2019-10-04,2400153.0
2019-10-05,2035628.0
2019-10-06,2215233.0
2019-10-07,2605291.0
2019-10-08,2688032.0
2019-10-09,2074718.0
2019-10-10,2555333.0
2019-10-11,2616771.0
2019-10-12,2313632.0
2019-10-13,2317763.0
2019-10-14,2581007.0
2019-10-15,2637667.0
2019-10-16,2049855.0
2019-10-17,2606266.0
2019-10-18,2514673.0
2019-10-19,2126637.0
2019-10-20,2245199.0
2019-10-21,2541581.0
2019-10-22,2594337.0
2019-10-23,1931971.0
2019-10-24,2478287.0
2019-10-25,2347017.0
2019-10-26,1910506.0
2019-10-27,2066516.0
2019-10-28,2047910.0
2019-10-29,2319906.0
2019-10-30,1836781.0
2019-10-31,2459525.0
2019-11-01,2403304.0
2019-11-02,2005101.0
2019-11-03,2147882.0
2019-11-04,2507365.0
2019-11-05,2544350.0
2019-11-06,1908805.0
2019-11-07,2356349.0
2019-11-08,2465392.0
2019-11-09,2150003.0
2019-11-10,2072207.0
2019-11-11,2364920.0
2019-11-12,2437211.0
2019-11-13,1807230.0
2019-11-14,2396681.0
2019-11-15,2298856.0
2019-11-16,1900895.0
2019-11-17,2071631.0
2019-11-18,2428095.0
2019-11-19,2550459.0
2019-11-20,2194291.0
2019-11-21,2321546.0
2019-11-22,2254188.0
2019-11-23,2435170.0
2019-11-24,2624250.0
2019-11-25,1591158.0
2019-11-26,1968137.0
2019-11-27,2648268.0
2019-11-28,2882915.0
2019-11-29,2591470.0
2019-11-30,2280403.0
2019-12-01,2054380.0
2019-12-02,2262878.0
2019-12-03,2278205.0
2019-12-04,1755801.0
2019-12-05,2292079.0
2019-12-06,2226290.0
2019-12-07,1897051.0
2019-12-08,2020488.0
2019-12-09,2362310.0
2019-12-10,2388029.0
2019-12-11,1893871.0
2019-12-12,2300248.0
2019-12-13,2250386.0
2019-12-14,2009112.0
2019-12-15,2234374.0
2019-12-16,2471408.0
2019-12-17,2608088.0
2019-12-18,2487987.0
2019-12-19,2519399.0
2019-12-20,2490503.0
2019-12-21,1981433.0
2019-12-22,1937235.0
2019-12-23,2552194.0
2019-12-24,2582580.0
2019-12-25,2470786.0
2019-12-26,2575985.0
2019-12-27,2500396.0
2019-12-28,2009880.0
2019-12-29,2133253.0
2019-12-30,2392331.0
2019-12-31,2311732.0
2020-01-01,2178656.0
2020-01-02,2422272.0
2020-01-03,2210542.0
2020-01-04,1806480.0
2020-01-05,1815040.0
2020-01-06,2034472.0
2020-01-07,2072543.0
2020-01-08,1687974.0
2020-01-09,2183734.0
2020-01-10,1992453.0
2020-01-11,1691205.0
2020-01-12,1876782.0
2020-01-13,2242656.0
2020-01-14,2347075.0
2020-01-15,1781893.0
2020-01-16,2000260.0
2020-01-17,2298616.0
2020-01-18,1870459.0
2020-01-19,1801444.0
2020-01-20,2100401.0
2020-01-21,2145063.0
2020-01-22,1645196.0
2020-01-23,2136584.0
2020-01-24,2004609.0
2020-01-25,1643435.0
2020-01-26,1777171.0
2020-01-27,2085468.0
2020-01-28,2159047.0
2020-01-29,1658886.0
2020-01-30,1948138.0
2020-01-31,2054725.0
2020-02-01,1677798.0
2020-02-02,1843877.0
2020-02-03,2167857.0
2020-02-04,2271551.0
2020-02-05,1770241.0
2020-02-06,2224826.0
2020-02-07,2164951.0
2020-02-08,1814047.0
2020-02-09,2038375.0
2020-02-10,2415185.0
2020-02-11,2507588.0
2020-02-12,1972248.0
2020-02-13,2198657.0
2020-02-14,2494922.0
2020-02-15,2190300.0
2020-02-16,2129862.0
2020-02-17,2358511.0
2020-02-18,2429489.0
2020-02-19,1951535.0
2020-02-20,2380359.0
2020-02-21,2267382.0
2020-02-22,1919803.0
2020-02-23,2075554.0
2020-02-24,2364727.0
2020-02-25,2441643.0
2020-02-26,1949696.0
2020-02-27,2353150.0
2020-02-28,2089641.0
2020-03-01,1736393.0
2020-03-02,1877401.0
2020-03-03,2130015.0
2020-03-04,2198517.0
2020-03-05,1844811.0
2020-03-06,2119867.0
2020-03-07,1909363.0
2020-03-08,1617220.0
2020-03-09,1702686.0
2020-03-10,1788456.0
2020-03-11,1714372.0
2020-03-12,1485553.0
2020-03-13,1519192.0
2020-03-14,1257823.0
2020-03-15,953699.0
2020-03-16,779631.0
2020-03-17,620883.0
2020-03-18,593167.0
2020-03-19,548132.0
2020-03-20,454516.0
2020-03-21,331431.0
2020-03-22,279018.0
2020-03-23,239234.0
2020-03-24,203858.0
2020-03-25,199644.0
2020-03-26,184027.0
2020-03-27,180002.0
2020-03-28,154080.0
2020-03-29,146348.0
2020-03-30,136023.0
2020-03-31,124021.0
2020-04-01,129763.0
2020-04-02,118302.0
2020-04-03,122029.0
2020-04-04,108310.0
2020-04-05,97130.0
2020-04-06,94931.0
2020-04-07,104090.0
2020-04-08,108977.0
2020-04-09,93645.0
2020-04-10,90510.0
2020-04-11,102184.0
2020-04-12,87534.0
2020-04-13,90784.0
2020-04-14,95085.0
2020-04-15,106385.0
2020-04-16,97236.0
2020-04-17,105382.0
2020-04-18,99344.0
2020-04-19,92859.0
2020-04-20,98968.0
2020-04-21,111627.0
2020-04-22,123464.0
2020-04-23,114459.0
2020-04-24,128875.0
2020-04-25,119854.0
2020-04-26,110913.0
2020-04-27,119629.0
2020-04-28,154695.0
2020-04-29,171563.0
2020-04-30,134261.0
2020-05-01,170254.0
2020-05-02,163692.0
2020-05-03,130601.0
2020-05-04,140409.0
2020-05-05,190863.0
2020-05-06,215444.0
2020-05-07,169580.0
2020-05-08,200815.0
2020-05-09,215645.0
2020-05-10,163205.0
2020-05-11,176667.0
2020-05-12,234928.0
2020-05-13,250467.0
2020-05-14,193340.0
2020-05-15,253807.0
2020-05-17,244176.0
2020-05-18,190477.0
2020-05-19,230367.0
2020-05-20,318449.0
2020-05-21,348673.0
2020-05-22,253190.0
2020-05-23,267451.0
2020-05-24,340769.0
2020-05-25,264843.0
2020-05-26,261170.0
2020-05-27,321776.0
2020-05-28,327133.0
2020-05-29,268867.0
2020-05-30,352947.0
2020-05-31,353261.0
2020-06-01,267742.0
2020-06-02,304436.0
2020-06-03,391882.0
2020-06-04,419675.0
2020-06-05,353016.0
2020-06-06,441255.0
2020-06-07,430414.0
2020-06-08,338382.0
2020-06-09,386969.0
2020-06-10,502209.0
2020-06-11,519304.0
2020-06-12,437119.0
2020-06-13,544046.0
2020-06-14,534528.0
2020-06-15,417924.0
2020-06-16,441829.0
2020-06-17,576514.0
2020-06-18,587908.0
2020-06-19,507129.0
2020-06-20,590456.0
2020-06-21,607540.0
2020-06-22,471421.0
2020-06-23,494826.0
2020-06-24,623624.0
2020-06-25,632984.0
2020-06-26,546310.0
2020-06-27,633810.0
2020-06-28,625235.0
2020-06-29,500054.0
2020-06-30,626516.0
2020-07-01,764761.0
2020-07-02,718988.0
2020-07-03,466669.0
2020-07-04,732123.0
2020-07-05,755555.0
2020-07-06,641761.0
2020-07-07,632498.0
2020-07-08,709653.0
2020-07-09,711124.0
2020-07-10,656284.0
2020-07-11,754545.0
2020-07-12,697985.0
2020-07-13,540268.0
2020-07-14,589285.0
2020-07-15,706164.0
2020-07-16,720378.0
2020-07-17,646654.0
2020-07-18,747422.0
2020-07-19,695330.0
2020-07-20,530421.0
2020-07-21,570951.0
2020-07-22,704815.0
2020-07-23,724770.0
2020-07-24,649027.0
2020-07-25,751205.0
2020-07-26,700043.0
2020-07-27,536756.0
2020-07-28,573200.0
2020-07-29,718310.0
2020-07-30,767320.0
2020-07-31,709033.0
2020-08-01,799861.0
2020-08-02,737235.0
2020-08-03,543601.0
2020-08-04,595739.0
2020-08-05,743599.0
2020-08-06,762547.0
2020-08-07,683212.0
2020-08-08,831789.0
2020-08-09,761861.0
2020-08-10,559420.0
2020-08-11,590749.0
2020-08-12,761821.0
2020-08-13,783744.0
2020-08-14,689895.0
2020-08-15,862949.0
2020-08-16,773319.0
2020-08-17,565946.0
2020-08-18,586718.0
2020-08-19,772380.0
2020-08-20,764468.0
2020-08-21,625822.0
2020-08-22,841806.0
2020-08-23,726788.0
2020-08-24,523186.0
2020-08-25,540043.0
2020-08-26,721060.0
2020-08-27,738873.0
2020-08-28,591734.0
2020-08-29,807695.0
2020-08-30,711178.0
2020-08-31,516068.0
2020-09-01,578131.0
2020-09-02,877698.0
2020-09-03,968673.0
2020-09-04,664640.0
2020-09-05,689630.0
2020-09-06,935308.0
2020-09-07,704075.0
2020-09-08,616923.0
2020-09-09,755051.0
2020-09-10,731353.0
2020-09-11,613703.0
2020-09-12,809850.0
2020-09-13,729558.0
2020-09-14,522383.0
2020-09-15,577847.0
2020-09-16,784746.0
2020-09-17,812214.0
2020-09-18,638575.0
2020-09-19,847968.0
2020-09-20,769936.0
2020-09-21,549741.0
2020-09-22,608726.0
2020-09-23,826316.0
2020-09-24,826329.0
2020-09-25,659350.0
2020-09-26,873038.0
2020-09-27,797699.0
2020-09-28,568688.0
2020-09-29,634046.0
2020-09-30,855908.0
2020-10-01,857186.0
2020-10-02,677661.0
2020-10-03,900911.0
2020-10-04,816838.0
2020-10-05,590766.0
2020-10-06,668519.0
2020-10-07,936915.0
2020-10-08,968545.0
2020-10-09,769868.0
2020-10-10,984234.0
2020-10-11,958440.0
2020-10-12,680894.0
2020-10-13,717940.0
2020-10-14,950024.0
2020-10-15,973046.0
2020-10-16,788743.0
2020-10-17,1031505.0
2020-10-18,921031.0
2020-10-19,662484.0
2020-10-20,694150.0
2020-10-21,934386.0
2020-10-22,958437.0
2020-10-23,755287.0
2020-10-24,983745.0
2020-10-25,898735.0
2020-10-26,648517.0
2020-10-27,666957.0
2020-10-28,873636.0
2020-10-29,892712.0
2020-10-30,618476.0
2020-10-31,936092.0
2020-11-01,846138.0
2020-11-02,575829.0
2020-11-03,636533.0
2020-11-04,867105.0
2020-11-05,895091.0
2020-11-06,689951.0
2020-11-07,973020.0
2020-11-08,836600.0
2020-11-09,596475.0
2020-11-10,674633.0
2020-11-11,866679.0
2020-11-12,881579.0
2020-11-13,697360.0
2020-11-14,978297.0
2020-11-15,883157.0
2020-11-16,611497.0
2020-11-17,703135.0
